HVH_107_08_000001_000001	皇越律例卷八目録
HVH_107_08_000040_000005	人識認者全給限外不选官者官物
HVH_107_08_000040_000006	私物减二等
HVH_107_08_000040_000007	其物一半入官一半给主
HVH_107_08_000040_000008	若王
HVH_107_08_000040_000009	之物者並德
HVH_107_08_000040_000010	收用若有古鐘符印異常之物
HVH_107_08_000040_000011	民非
HVH_107_08_000040_000012	有宜限三十日丙选官建者放八
HVH_107_08_000040_000013	有者
HVH_107_08_000040_000014	其物入官
HVH_107_08_000040_000015	皇越律例
HVH_107_08_000040_000016	卷八律
HVH_107_08_000040_000017	三十九
HVH_107_08_000040_000018	得意失物
HVH_107_08_000040_000019	牛賞得物人国失物人三十日
HVH_107_08_000040_000020	有官物物二等物
HVH_107_08_000040_000021	之得物人故全给也如五日外不远
HVH_107_08_000040_000022	捐衍之物聽妆用不必报官若
HVH_107_08_000040_000023	得古器缝符邱具常之物则
HVH_107_08_000040_000024	官队非民同所得有也建三十
HVH_107_08_000040_000025	日
HVH_107_08_000040_000026	之选
HVH_107_08_000040_000027	八十共入官
HVH_107_08_000041_000001	市屋
HVH_107_08_000041_000002	把持行市
HVH_107_08_000041_000003	九買賣諸物西不和同而把持行市事取
HVH_107_08_000041_000004	其利及之徒通同牙行共為姦計
HVH_107_08_000041_000005	7关
HVH_107_08_000041_000006	賣之物以賤為貴買物以貴為贱者
HVH_107_08_000041_000007	高下比價以相惑乱而取利者
HVH_107_08_000041_000008	精丰
HVH_107_08_000041_000009	把特
HVH_107_08_000041_000010	享
HVH_107_08_000041_000011	答四十0若得利物计重
HVH_107_08_000041_000012	十答四
HVH_107_08_000041_000013	者准窃盗論免刺
HVH_107_08_000041_000014	贼者仍以
HVH_107_08_000041_000015	本罪得之
HVH_107_08_000041_000016	不和用使者讀者措不情願
HVH_107_08_000041_000017	之意典下把持二旬語意相承如已
HVH_107_08_000041_000018	皇越律侧
HVH_107_08_000041_000019	卷八律
HVH_107_08_000041_000020	四十
HVH_107_08_000041_000021	把持行市
HVH_107_08_000041_000022	他人買也故曰事取其利九市
HVH_107_08_000041_000023	買诸物致使再不和同而把特行
HVH_107_08_000041_000024	市高下其不他人作主自其
HVH_107_08_000041_000025	利者及之徒通同牙行共
HVH_107_08_000041_000026	爲计已物则高其價而以賤爲
HVH_107_08_000041_000027	贵人物则低其價而以贵為贱者
HVH_107_08_000041_000028	科断免刺至
HVH_107_08_000041_000029	死减一等
HVH_107_08_000041_000030	條例
HVH_107_08_000041_000031	會同馆内外四降居民人等代替外國
HVH_107_08_000042_000001	人收買違禁貨物者問罪枷號一個月
HVH_107_08_000042_000002	近克單
HVH_107_08_000042_000003	一九外國人
HVH_107_08_000042_000004	朝貢到京會同馆開市五日各铺行人等将不
HVH_107_08_000042_000005	應禁之物入馆两平交易柴作布絹
HVH_107_08_000042_000006	等项立限交回如除買及故意拖延骗
HVH_107_08_000042_000007	勒遠人至起程日不能清回者照框骗
HVH_107_08_000042_000008	律治罪仍於館門首枷號一個月者不
HVH_107_08_000042_000009	依期日及誘引遠人潜入人家私相交
HVH_107_08_000042_000010	易者私货各入官铺行人等以
HVH_107_08_000042_000011	制論照前枷號
HVH_107_08_000042_000012	皇越律侧
HVH_107_08_000042_000013	卷八户律四十
HVH_107_08_000042_000014	把持行市
HVH_107_08_000042_000015	各客商輻去慶若牙行及無籍之
HVH_107_08_000042_000016	徒用强邀截客貨者不論有無貨
HVH_107_08_000042_000017	物問罪俱加號一個月如有調除貨物
HVH_107_08_000042_000018	仍追比全足落若追比年久無從賠
HVH_107_08_000042_000019	償累死客商者附近克单
HVH_107_08_000042_000020	一九
HVH_107_08_000042_000021	内府人员家人及親貴大臣官員家人領本生
HVH_107_08_000042_000022	理霸占要地津倚势欺陵不合商民
HVH_107_08_000042_000023	貿易者事發将倚勢欺陵之人監
HVH_107_08_000042_000024	保如民人借貸親貴大臣官员銀两指
HVH_107_08_000042_000025	名贸易霸占要地阁津侍强胎累地方
HVH_107_08_000043_000001	者亦照此侧治罪又
HVH_107_08_000043_000002	丙府人员家人及王以下大臣官員家人指名
HVH_107_08_000043_000003	倚势網收市利换制有司干预詞訟肆
HVH_107_08_000043_000004	行非法該主遣去者本枷號三個月
HVH_107_08_000043_000005	杖一百本犯私去者照光混倒治罪該
HVH_107_08_000043_000006	主失察者俱交與該衙門照例議處管
HVH_107_08_000043_000007	理家務官革職大臣官員失察者亦俱
HVH_107_08_000043_000008	革職不行察之該地方文武官交該
HVH_107_08_000043_000009	部議
HVH_107_08_000043_000010	一大小御門公私所需货物務照市價公
HVH_107_08_000043_000011	平交易不得克用牙行役私取即有
HVH_107_08_000043_000012	望越律饵
HVH_107_08_000043_000013	卷八户律
HVH_107_08_000043_000014	四十二
HVH_107_08_000043_000015	把背行市
HVH_107_08_000043_000016	差辨必須秉公提取母許藉端需索如
HVH_107_08_000043_000017	有縱後失察交部分别議其後照
HVH_107_08_000043_000018	牙行及無之徒用强邀截客貨者不
HVH_107_08_000043_000019	論有無除貨物例枷號一個月杖八
HVH_107_08_000043_000020	十如賊至三十五两者照枉法賊問
HVH_107_08_000043_000021	所得服私货物分别給主八官
HVH_107_08_000044_000001	私造斛斗秤尺
HVH_107_08_000044_000002	九私造解斗秤尺不平在市行使及将官
HVH_107_08_000044_000003	降斛十秤尺作弊增减者杖六十工匠
HVH_107_08_000044_000004	杖七十
HVH_107_08_000044_000005	提調官失於较勘者减
HVH_107_08_000044_000006	知情與同罪。若倉庫官更私自增藏
HVH_107_08_000044_000007	官降斛斗拜尺收支官物而不平
HVH_107_08_000044_000008	所谐
HVH_107_08_000044_000009	纳以
HVH_107_08_000044_000010	出以
HVH_107_08_000044_000011	所减
HVH_107_08_000044_000012	物入已者以
HVH_107_08_000044_000013	监守自盗論
HVH_107_08_000044_000014	价藏不分
HVH_107_08_000044_000015	微查律科断
HVH_107_08_000044_000016	工匠杖八十
HVH_107_08_000044_000017	監臨官知而不舉者與犯人同罪失覺
HVH_107_08_000044_000018	皇越律创
HVH_107_08_000044_000019	卷八力
HVH_107_08_000044_000020	四十三
HVH_107_08_000044_000021	聚卧十杯尺
HVH_107_08_000044_000022	察减三等罪止一百
HVH_107_08_000044_000023	同律度量衡王制也斜十释尺乃百
HVH_107_08_000044_000024	为之所受载以為平者官降一定之
HVH_107_08_000044_000025	式民遵依造越官印格面
HVH_107_08_000044_000026	有增减若造解斗尺大小輕重
HVH_107_08_000044_000027	長短不平在行使及将官降断
HVH_107_08_000044_000028	而不知原法式者杖七十作法
HVH_107_08_000044_000029	民而先自之故视私造不平者加
HVH_107_08_000044_000030	等科之提调官束失被物者指是
HVH_107_08_000044_000031	陈慢之故成一等知其不如
HVH_107_08_000044_000032	情而不期别是有心之故
HVH_107_08_000044_000033	:
HVH_107_08_000044_000034	罪在工压也0若在库之十
HVH_107_08_000044_000035	尺由官降以收支錢主守库
HVH_107_08_000044_000036	官府私自增成以致收支官物增多
HVH_107_08_000044_000037	百以所增所成物
HVH_107_08_000045_000001	数的装照至胜通养抗牛重
HVH_107_08_000045_000002	所多减支所除之物入已者以监守
HVH_107_08_000045_000003	让
HVH_107_08_000045_000004	集成
HVH_107_08_000045_000005	面
HVH_107_08_000045_000006	销
HVH_107_08_000045_000007	該
HVH_107_08_000045_000008	枚
HVH_107_08_000045_000009	一
HVH_107_08_000045_000010	百
HVH_107_08_000045_000011	上
HVH_107_08_000045_000012	则
HVH_107_08_000045_000013	齐三
HVH_107_08_000045_000014	界
HVH_107_08_000045_000015	T
HVH_107_08_000045_000016	市
HVH_107_08_000045_000017	也杖
HVH_107_08_000045_000018	皇越律侧
HVH_107_08_000045_000019	巷八
HVH_107_08_000045_000020	四十四
HVH_107_08_000045_000021	私造新拜尺
